"Date","Open","High","Low","Close","Adj.Close","Volume"
2022-04-25,3134,3155.100098,3095.100098,3130.600098,3052.69873,1096774
2022-04-26,3130,3148.699951,3105.800049,3125.649902,3047.871582,1703441
2022-04-27,3096,3164,3085.949951,3148.350098,3070.00708,963536
2022-04-28,3190,3268,3170,3247.699951,3166.884521,2001838
2022-04-29,3249,3278,3221.300049,3237.199951,3156.645996,1088970
2022-04-30,NA,NA,NA,3237.199951,NA,NA
2022-05-01,NA,NA,NA,3237.199951,NA,NA
2022-05-02,3195,3211.5,3154.050049,3200,3120.371582,595522
2022-05-03,NA,NA,NA,3200,NA,NA
2022-05-04,3178,3194.699951,3081.449951,3100.850098,3023.689209,1120002
2022-05-05,3104.75,3126.949951,3070,3076.550049,2999.993896,724601
2022-05-06,3020,3052.399902,3003.899902,3016.25,2941.194336,923941
2022-05-07,NA,NA,NA,3016.25,NA,NA
2022-05-08,NA,NA,NA,3016.25,NA,NA
2022-05-09,3000.850098,3038.800049,2975,3005.25,2930.467773,998324
2022-05-10,3051,3138.75,3036,3086.350098,3009.550049,2460016
2022-05-11,3090.399902,3109.550049,2979,3053.649902,2977.663574,1883969
2022-05-12,3042,3078,2988,3039.949951,2964.304199,1254245
2022-05-13,3074.399902,3116.25,3035.300049,3064,2987.756104,1121729
2022-05-14,NA,NA,NA,3064,NA,NA
2022-05-15,NA,NA,NA,3064,NA,NA
2022-05-16,3089.899902,3089.899902,2985.199951,2999.899902,2925.250732,733044
2022-05-17,2998.899902,3056.600098,2951,3050,2974.104248,1179081
2022-05-18,3030,3128.800049,3026,3100.100098,3022.95752,1379763
2022-05-19,3000.5,3071.699951,3000.449951,3046.899902,2971.081299,772390
2022-05-20,3080,3125,3070,3109.949951,3032.562744,778957
2022-05-21,NA,NA,NA,3109.949951,NA,NA
2022-05-22,NA,NA,NA,3109.949951,NA,NA
2022-05-23,3143.949951,3188,3130.050049,3174.199951,3095.213867,813294
2022-05-24,3174.75,3183.649902,3070,3086.850098,3010.037354,691307
2022-05-25,3039,3039,2826.300049,2838.050049,2767.428467,3381427
2022-05-26,2850,2860,2718.550049,2840.149902,2769.476318,3212196
2022-05-27,2868,2869,2781,2834.850098,2764.30835,1879534
2022-05-28,NA,NA,NA,2834.850098,NA,NA
2022-05-29,NA,NA,NA,2834.850098,NA,NA
2022-05-30,2880,2884,2817,2844,2773.230469,2525482
2022-05-31,2844,2878,2811,2859.649902,2788.490723,2408221
2022-06-01,2859.649902,2939.899902,2832.050049,2852.5,2781.519043,1770795
2022-06-02,2870.199951,2919,2848,2908.550049,2836.174316,1164197
2022-06-03,2905,2919.449951,2856,2886.899902,2815.062744,1228489
2022-06-04,NA,NA,NA,2886.899902,NA,NA
2022-06-05,NA,NA,NA,2886.899902,NA,NA
2022-06-06,2871.100098,2872,2807.699951,2817.449951,2747.341064,1193698
2022-06-07,2800,2804,2731,2744.699951,2676.401367,1403598
2022-06-08,2771.899902,2775,2700,2705.199951,2637.884277,1743575
2022-06-09,2680,2697.600098,2633.75,2686.800049,2635.040283,1857501
2022-06-10,2665,2736,2652,2708.75,2656.567627,1592920
2022-06-11,NA,NA,NA,2708.75,NA,NA
2022-06-12,NA,NA,NA,2708.75,NA,NA
2022-06-13,2669.949951,2683,2642.5,2660.75,2609.491943,1674206
2022-06-14,2617,2666.350098,2585,2635.399902,2584.630371,2296040
2022-06-15,2650,2683.600098,2627.100098,2661.149902,2609.884277,928842
2022-06-16,2694.949951,2725.449951,2640,2657.449951,2606.255371,1280628
2022-06-17,2650.100098,2657,2560,2580.199951,2530.493652,2043251
2022-06-18,NA,NA,NA,2580.199951,NA,NA
2022-06-19,NA,NA,NA,2580.199951,NA,NA
